,entry_date,entry_price,fee,exit_date,exit_price,pnl
0,2023-04-16,25.34,0.0002,2023-06-19,16.1,-0.3648408839779005
1,2023-08-05,22.65,0.0002,2023-09-24,19.36,-0.14545386313465783
